iter	Passed	Remaining
766	1271	386
767	1273	384
768	1275	383
769	1276	381
770	1278	379
771	1279	377
772	1281	376
773	1282	374
774	1283	372
775	1284	370
776	1286	369
777	1287	367
778	1289	365
779	1291	364
780	1292	362
781	1294	360
782	1295	359
783	1296	357
784	1297	355
785	1299	353
786	1300	351
787	1301	350
788	1302	348
789	1304	346
790	1305	344
791	1306	343
792	1308	341
793	1309	339
794	1310	337
795	1311	336
796	1312	334
797	1314	332
798	1315	330
799	1316	329
800	1317	327
801	1319	325
802	1320	324
803	1322	322
804	1323	320
805	1324	318
806	1325	317
807	1327	315
808	1328	313
809	1329	311
810	1330	310
811	1331	308
812	1333	306
813	1334	305
814	1336	303
815	1338	301
816	1339	300
817	1341	298
818	1342	296
819	1343	295
820	1345	293
821	1346	291
822	1347	289
823	1349	288
824	1350	286
825	1352	284
826	1353	283
827	1355	281
828	1356	279
829	1357	278
830	1359	276
831	1360	274
832	1361	272
833	1362	271
834	1363	269
835	1364	267
836	1366	266
837	1368	264
838	1369	262
839	1370	261
840	1371	259
841	1373	257
842	1374	255
843	1375	254
844	1376	252
845	1377	250
846	1378	249
847	1380	247
848	1381	245
849	1383	244
850	1384	242
851	1385	240
852	1387	239
853	1388	237
854	1389	235
855	1390	233
856	1391	232
857	1392	230
858	1394	228
859	1395	227
860	1396	225
861	1398	223
862	1400	222
863	1401	220
864	1402	218
865	1404	217
866	1405	215
867	1406	213
868	1407	212
869	1408	210
870	1409	208
871	1410	207
872	1412	205
873	1414	203
874	1415	202
875	1417	200
876	1418	198
877	1419	197
878	1420	195
879	1422	193
880	1423	192
881	1424	190
882	1426	188
883	1427	187
884	1428	185
885	1430	184
886	1431	182
887	1433	180
888	1434	179
889	1435	177
890	1436	175
891	1437	174
892	1439	172
893	1440	170
894	1441	169
895	1442	167
896	1444	165
897	1446	164
898	1447	162
899	1448	160
900	1450	159
901	1451	157
902	1452	156
903	1453	154
904	1455	152
905	1456	151
906	1457	149
907	1459	147
908	1460	146
909	1462	144
910	1463	142
911	1464	141
912	1465	139
913	1466	138
914	1468	136
915	1469	134
916	1470	133
917	1472	131
918	1473	129
919	1475	128
920	1476	126
921	1478	125
922	1479	123
923	1480	121
924	1482	120
925	1483	118
926	1484	116
927	1485	115
928	1486	113
929	1488	112
930	1489	110
931	1491	108
932	1492	107
933	1494	105
934	1495	103
935	1496	102
936	1498	100
937	1499	99
938	1500	97
939	1501	95
940	1502	94
941	1503	92
942	1504	90
943	1506	89
944	1508	87
945	1509	86
946	1511	84
947	1512	82
948	1513	81
949	1514	79
950	1516	78
951	1517	76
952	1518	74
953	1519	73
954	1520	71
955	1522	70
956	1523	68
957	1525	66
958	1526	65
959	1527	63
960	1528	62
961	1530	60
962	1531	58
963	1532	57
964	1533	55
965	1534	54
966	1535	52
967	1537	50
968	1538	49
969	1540	47
970	1541	46
971	1542	44
972	1543	42
973	1545	41
974	1546	39
975	1547	38
976	1549	36
977	1550	34
978	1551	33
979	1552	31
980	1554	30
981	1556	28
982	1557	26
983	1558	25
984	1559	23
985	1561	22
986	1562	20
987	1563	18
988	1565	17
989	1566	15
990	1568	14
991	1570	12
992	1572	11
993	1573	9
994	1575	7
995	1576	6
996	1577	4
997	1579	3
998	1580	1
999	1582	0
